Title,Description,date,subject,Subject - LCSH,location,Collecting Area,Status,Manufacturer,Latitude,Longitude,Digital Collection,Archival Source,Publisher,Original Format,Provenance,rights,Credit Line,identifier,Type,Location ID,format,File Size,Height,Width,Color Space,Checksum,Hardware,Software,User Name,Notes,Internal Use,Folder Search,OCLC number,Date created,Date modified,Reference URL,cdmid,objectid,CONTENTdm file name,Archival file,CONTENTdm file path
Top O' the Sea,"The Top O' the Sea Cafe was one of the first, if not the first, restaurants opened at the end of the Malibu Pier, occupying one of the twin structures that has characterized the pier's appearance since the 1940s. The restaurant opened in 1950. The matchcover features the Lenbrooke, one of several fishing boats that operated from the pier at the time. The underside of the cover lists pier services.",1952,Matchcovers; Eating & drinking facilities; Restaurants; Piers & wharves;,Malibu (Calif.),"Malibu Pier, Malibu;",,complete;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"match book, 2 x 4.5 inches",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00001.tif,Image,,image/jp2,9486311 Bytes,2613,1209,RGB,467295273,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-07-10,2014-07-10,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/0,0,wienberg0,1.jp2,Volume2/match00001.tif,/p15730coll18/image/1.jp2
Top O' the Sea,"The Top O' the Sea Cafe was one of the first, if not the first, restaurants opened at the end of the Malibu Pier, occupying one of the twin structures that has characterized the pier's appearance since the 1940s. The restaurant opened in 1950. The matchcover features the Lenbrooke, one of several fishing boats that operated from the pier at the time. The underside of the cover lists pier services.",1952,Matchcovers; Eating & drinking facilities; Restaurants; Piers & wharves;,Malibu (Calif.),"Malibu Pier, Malibu;",,complete;,,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Match book, 2 x 4.5 inches",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00002.tif,Image,,image/jp2,9486311 Bytes,2613,1209,RGB,3105764903,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-07-10,2014-07-10,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/1,1,wienberg1,2.jp2,Volume2/match00002.tif,/p15730coll18/image/2.jp2
Malibu West,"This matchcover advertises the Malibu West development venture, which produced single family homes and condominiums in the Trancas Canyon area of western Malibu between 1962 and 1964.",1964,Matchcovers; Real estate business; Real estate development;,Malibu (Calif.),"Trancas Canyon, Malibu;",,complete;,Universal Match Corp,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Matchbook, 7.5 x 11 centimeters",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00003.tif,Image,,image/jp2,13727210 Bytes,2613,1750,RGB,311162305,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-07-11,2014-07-11,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/3,3,wienberg3,4.jp2,Volume2/match00003.tif,/p15730coll18/image/4.jp2
Malibu West,"This matchcover advertises the Malibu West development venture, which produced single family homes and condominiums in the Trancas Canyon area of western Malibu between 1962 and 1964.",1964,Matchcovers; Real estate business; Real estate development;,Malibu (Calif.),"Trancas Canyon, Malibu;",,complete;,Universal Match Corp,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Matchbook, 7.5 x 11 centimeters",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00004.tif,Image,,image/jp2,13727210 Bytes,2613,1750,RGB,3062279906,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-07-11,2014-07-11,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/4,4,wienberg4,5.jp2,Volume2/match00004.tif,/p15730coll18/image/5.jp2
Drift Inn Cafe,"The Drift Inn Cafe had its heyday in the late 1950s and early 1960s, often featuring live jazz music. It was situated at 22878 Pacific Coast Highway, on the beach just east of the Malibu Pier. During the 1960s, the owner renovated the Drift Inn as the Tiki-themed Tonga Lei Restaurant. The building was eventually razed in 1987 to make way for the Malibu Beach Inn.",1959,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Carbon Beach, Malibu;",,complete;,Monarch Match,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Matchbook, 4 x 11.5 centimeters",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00005.tif,Image,,image/jp2,7298231 Bytes,2673,909,RGB,1489805091,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-07-17,2014-07-17,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/6,6,wienberg6,7.jp2,Volume2/match00005.tif,/p15730coll18/image/7.jp2
Tonga Lei and Ted's Rancho Restaurant,"This matchcover advertises two restaurants: Tonga Lei Polynesian and Ted's Rancho Restaurant, both owned by Danny Vaughn. Located on the beach just east of Topanga Canyon, Ted's Rancho served clientele from the 1940s to the late 1970s. The site is a vacant lot today. In 1961, Vaughn (with co-owner Ted Wynkoop) converted his Drift Inn near the Malibu Pier to the Polynesian-themed Tonga Lei, which remained a popular eatery until it closed in 1987. In the following year, the owners built the Malibu Beach Inn at that location.",1969,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.); Topanga (Calif.);,"Carbon Beach, Malibu; Topanga Beach, Malibu;",,complete;,Creative Sales Catalysts,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Matchbook, 4 x 11 centimeters",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00006.tif,Image,,image/jp2,6750500 Bytes,2613,860,RGB,814100407,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-07-17,2014-07-17,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/8,8,wienberg8,9.jp2,Volume2/match00006.tif,/p15730coll18/image/9.jp2
Malibu Inn Cafe,"The Malibu Inn, also known as the Malibu Beach Inn, appeared in the 1920s, rising with the popularity of the Malibu Movie Colony. The Malibu Inn was a fixture on Malibu Road behind the Colony until the redirection of the highway forced its move in the early 1950s. This matchbook dates from the early years in its new location across from Malibu Pier at 22969 Pacific Coast Highway. Note it's motto: ""Where the Stars Meet the Sea."" The reverse side includes pictures of two of the Malibu Inn's ""crunch fried"" dishes: Chicken on a Stick and the Shrimp Boat.",1953,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Carbon Beach, Malibu;",,complete;,Universal Match Corp,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Matchbook, 5 x 11.5 centimeters",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00007.tif,Image,,image/jp2,9276200 Bytes,2663,1160,RGB,1407258682,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-08-22,2014-08-22,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/10,10,wienberg10,11.jp2,Volume2/match00007.tif,/p15730coll18/image/11.jp2
Malibu Inn Cafe,"The Malibu Inn, also known as the Malibu Beach Inn, appeared in the 1920s, rising with the popularity of the Malibu Movie Colony. The Malibu Inn was a fixture on Malibu Road behind the Colony until the redirection of the highway forced its move in the early 1950s. This matchbook dates from the early years in its new location across from Malibu Pier at 22969 Pacific Coast Highway. Note it's motto: ""Where the Stars Meet the Sea."" The reverse side includes pictures of two of the Malibu Inn's ""crunch fried"" dishes: Chicken on a Stick and the Shrimp Boat.",1953,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Carbon Beach, Malibu;",,complete;,Universal Match Corp,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Matchbook, 5 x 11.5 centimeters",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00008.tif,Image,,image/jp2,9276200 Bytes,2663,1160,RGB,2883255556,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-08-22,2014-08-22,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/11,11,wienberg11,12.jp2,Volume2/match00008.tif,/p15730coll18/image/12.jp2
Malibu Sports Club Restaurant,"The Malibu Sports Club Restaurant opened at the foot of the Malibu Pier in the mid 1950s, operating there until it closed in 1969. The Malibu Pier Club and Alice's Restaurant later occupied this spot.",1958,Matchcovers; Eating & drinking facilities; Restaurants; Piers & wharves;,Malibu (Calif.),"Malibu Pier, Malibu;",,complete;,Lion Match Co.,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Matchbook, 5 x 11 centimeters",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00009.tif,Image,,image/jp2,9206600 Bytes,2643,1160,RGB,924995758,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-07-15,2014-07-15,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/13,13,wienberg13,14.jp2,Volume2/match00009.tif,/p15730coll18/image/14.jp2
Malibu Sports Club Restaurant,"The Malibu Sports Club Restaurant opened at the foot of the Malibu Pier in the mid 1950s, operating there until it closed in 1969. The Malibu Pier Club and Alice's Restaurant later occupied this spot.",1958,Matchcovers; Eating & drinking facilities; Restaurants; Piers & wharves;,Malibu (Calif.),"Malibu Pier, Malibu;",,complete;,Lion Match Co.,,,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",,Pepperdine University Libraries,"Matchbook, 5 x 11 centimeters",Collected and donated by Eric Wienberg,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives",match00010.tif,Image,,image/jp2,9206600 Bytes,2643,1160,RGB,3476929573,Epson Perfection V500 Photo,SF Universal Launcher,PAY-324-01\paystuw,,,,,2014-07-15,2014-07-15,http://cdm15730.contentdm.oclc.org/cdm/ref/collection/p15730coll18/id/14,14,wienberg14,15.jp2,Volume2/match00010.tif,/p15730coll18/image/15.jp2
