title,description,subject,date,date is approximate,source,latitude,longitude,subject (lcsh),format-original,donor,identifier,format,language,type,rights,rightsstatement,date created,filename,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Len Walker, ""University of Idaho"" boxer Pacific Coast and National boxing champion","Len Walker, University of Idaho boxer Pacific Coast and National boxing champion - Len Walker, 145, junior, Wallace, one letter, 5' 8"""", Pacific Coast and national champion at 135.  [Date: 1950]",boxers; boxing; national championships,1950,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,University of Idaho. News Bureau. ASUI.,MG5388_01,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/0,0,1.jp2,/boxing/image/1.jp2,demo_boxing0
"Frank Young, University of Idaho boxing coach","Frank Young, University of Idaho boxing coach - Frank Young, Boxing Coach [Date: 1950]",demo_boxing coach; equipment,1950,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_10,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/1,1,10.jp2,/boxing/image/10.jp2,demo_boxing1
Pacific Coast Intercollegiate Boxing champions 1947,"Pacific Coast Intercollegiate Boxing champions 1947 - Left to Right: Art Neumayer Gonzaga University, 125 lb.; Jack Nelson, WSC, 130 lb.; Ray Engberson UI, 135 lb.; Bob Anderson San Jose State College, 145 lb.; I. F. Toomey, Director of Athletes, Cal Aggies; Herb Carlson UI, 155 lb.; Wayne Fontes San Jose State, 165 lb.; Laune Erickson UI, 175 lb. div.; John Nikcevich UCLA, Heavyweight [Date: 1947]",boxers; boxing; championships; boxing squad,1947,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",,,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_11,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/2,2,11.jp2,/boxing/image/11.jp2,demo_boxing2
1952-1953 University of Idaho boxing squad,"University of Idaho boxing squad - 1953; Gem pg. 263 (Harold Solinsky, Don Anderson, Ray Johnson, Fred Bowen, bob McBride, Don Houseley, Jack Webster, Ralph Snook, Herb Jeo, Lynn Nichols, and Tom Howard) [Date: 1953]",boxers; boxing; boxing squad,1953,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_12,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/3,3,12.jp2,/boxing/image/12.jp2,demo_boxing3
1951-1952 University of Idaho boxing squad,"University of Idaho boxing squad - 1952; Gem pg. 163 (Front row: Jack Gray, Mike Young, Milt Walker, Harvey Mutch, Lynn Nichols, Captain Franker Echevarria, back row: Phil Ourads, Johnny Echevarria, Don Houseley, Jim Driever, Larry Moyer, Don Anderson, Fred Bowen.) [Date: 1952]",boxers; boxing; boxing squad,1952,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_13,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/4,4,13.jp2,/boxing/image/13.jp2,demo_boxing4
1947-1948 University of Idaho boxing squad [02],1947-1948 University of Idaho boxing squad -  [Date: 1947],boxers; boxing; boxing squad,1947,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_15,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/5,5,14.jp2,/boxing/image/14.jp2,demo_boxing5
"Dale Hammond, University of Idaho boxer","Dale Hammond, University of Idaho boxer -  [Date: 1948]",boxers; boxing,1948,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_16,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/6,6,15.jp2,/boxing/image/15.jp2,demo_boxing6
John J Walsh's NCAA boxing trophy,John J Walsh's NCAA boxing trophy -  [Date: 1950],trophies; NCAA championships; boxing; boxers,1950,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_17,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/7,7,16.jp2,/boxing/image/16.jp2,demo_boxing7
"Frank Echevarria, University of Idaho boxer","Frank Echevarria, University of Idaho boxer - 1952 NCAA Champion; 119 lbs [Date: 1952]",demo_boxing; boxers; NCAA championships,1952,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_18,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/8,8,17.jp2,/boxing/image/17.jp2,demo_boxing8
1948 University of Idaho boxing squad,1948 University of Idaho boxing squad -  [Date: 1948],demo_boxing squad; boxers; boxing,1948,yes,"MG5388, Donald Richard Theophilus Jr. Boxing at the University of Idaho, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections",46.727485,-117.014185,University of Idaho -- Sports -- History; Boxing -- Idaho -- Moscow,8x10 black and white print,,MG5388_19,image/jpg,eng,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by the University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2014,,2014-04-01,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/boxing/id/9,9,18.jp2,/boxing/image/18.jp2,demo_boxing9
