title,date,date is approximate?,description,location,latitude,longitude,subject,sub-lcsh,source,identifier,donor,rights,standardized rights,language,publisher,digital collection,date digital,type,format original,format,ordering information,group / city number,image number (within group),filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Three unidentified store fronts. Nez Perce, Idaho.",1898,y,Note with photo 'Nez Perce or Craigmont',Nez Perce,46.234981,-116.242079,main streets; stores,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-101-1,Malcolm D. Alexander,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,4.75x5.5 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",101,1,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/0,0,1.jp2,/cities/image/1.jp2,demo_cities0
"Lobby of Hotel Harrison. Harrison, Idaho.",1905,y,,Harrison,47.457733,-116.781133,interiors; hotel (public accommodations),,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-115-2c,,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.5x5 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",115,2c,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/1,1,10.jp2,/cities/image/10.jp2,demo_cities1
"J.R. Painter Ranch? Dixie, Idaho.",1932,y,,Dixie,45.554155,-115.461055,panoramas; mountains; rivers,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-123-06a,Hugh H. Eminger,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,5x7 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",123,06a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/2,2,100.jp2,/cities/image/100.jp2,demo_cities2
"Automobile accident. Troy, Idaho?",1923,y,Approximate location if Troy (Duthe Park),Troy,46.738793,-116.768966,accident; automobiles,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-077-10a,Clyde Spencer,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,7.5x9 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",077,10a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/3,3,1000.jp2,/cities/image/1000.jp2,demo_cities3
"J.R. Painter Ranch? Dixie, Idaho.",1932,y,,Dixie,45.554166,-115.461066,panoramas; mountains; rivers,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-123-06b,Hugh H. Eminger,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,5x7 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",123,06b,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/4,4,101.jp2,/cities/image/101.jp2,demo_cities4
Cecil McCracker holding a set of Bighorn Sheep horns.,1933,,,Dixie,45.554177,-115.461077,skull (skeleton component),,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-123-07a,Hugh H. Eminger,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,5x7 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",123,07a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/5,5,102.jp2,/cities/image/102.jp2,demo_cities5
"Pick' Ward wearing white apron and chef's cap and Kay Flores. Dixie, Idaho.",1938,y,,Dixie,45.554277,-115.461177,cooks,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-123-07b,Hugh H. Eminger,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,5x7 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",123,07b,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/6,6,103.jp2,/cities/image/103.jp2,demo_cities6
"Hanging the Kaiser in effigy. Challis, Idaho.",1918,,,Challis,44.504611,-114.231711,main streets; political events,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-2,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,4x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,2,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/7,7,104.jp2,/cities/image/104.jp2,demo_cities7
"Sam Lee Laundry. China Town in North Challis. Challis, Idaho.",1900,,,Challis,44.506139,-114.227021,laundries (businesses),,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-2a,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,2a,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/8,8,105.jp2,/cities/image/105.jp2,demo_cities8
"Challis House on Main Street above Legion hall. Challis, Idaho.",1892,,,Challis,44.504622,-114.231722,halls,,Photo Group 5  | University of Idaho Library Special Collections & Archives | http://www.lib.uidaho.edu/special-collections/index.html,5-104-2b,Challis Public Library,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,University of Idaho Library Digital Initiatives | http://www.lib.uidaho.edu/digital/,Idaho Cities & Towns Collection - http://www.lib.uidaho.edu/digital/cities/index.html,2011,Image;StillImage,3.75x4.75 black and white print,image/jpg,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/index.html",104,2b,,,2012-03-15,2014-04-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/9,9,106.jp2,/cities/image/106.jp2,demo_cities9
