objectid,collectionid,cdmid,youtubeid,title,description,creator,date,date-is-approximate,subject,location,latitude,longitude,source,identifier,original_format,format,type,language,rights,rightsstatement
demo_psychiana_yt1,psychiana,,x6eu5wj8b04,"Psychiana, A Mail Order Religion Created in the Small Town of Moscow, Idaho","Short video describing Psychiana, a mail order religion that preached the New Thought Movement. In 1928, Dr. Frank B. Robinson created Psychiana in Moscow, Idaho.",Northwest Public Broadcasting,2019-08-28,,Religion; Frank B. Robinson,,,,Northwest Public Broadcasting,,youtube video,video/mpeg,Audio,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana841,psychiana,841,,"$10,000 Reward","Single-fold pamphlet regarding the possibility of eternal life on earth, which Robinson claims is possible with the help of Psychiana. Offers a $10,000 reward to anyone who can prove that 'almighty god cannot give eternal life on this earth.'",,1946,yes,Eternal Life; Peace; Material Abundance; Happiness; Spirit of God; Talking With God; Power of God,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 4",multiple-page; pamphlets,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana98,psychiana,98,,"A Conspectus of the Eleven Living Religions of the World, Arranged in the Chronological Order of Their Origin","Table of compiled data about eleven orthodox religions in regards to each religions' name, date of birth of founder, founder, deity, present location, scripture, and number in millions of adherents.",,1940,yes,Doctrine Parallels,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 5, Folder 24",single-page; data tables,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana281,psychiana,281,,A Little Chat About Money,"Notice sent to members to make prompt payments. Robinson tells his members that he believes in their unshakable integrity and that it must be carelessness that they don't make their payments, but it is important that the payments are received on time.","Robinson, Frank B.",1938,yes,Power  of God; Payments; Movement; Bills; Discounts; Expenses; Burdens; Obligations,"Seattle, WA",47.604513,-122.332475,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 24",single-page; notices,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana245,psychiana,245,,A Money-Making Opportunity for 'Psychiana' Students Establish a 'Psychiana' Sales Agency,Fill out and sign enclosed 'Sales Agents Application Blank'. Notice to inform students about becoming sale agents for Psychiana.,,1936,yes,Sale Agency; Money-Making Opportunity; Students; Territory; Spreading Psychiana,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23",multiple-page; application forms,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana251,psychiana,251,,A Sacred Trust,A single-page notice sent to members asking that they direct their thoughts to Hitler and to say 'YOU ARE OPPOSING THE SPIRIT OF GOD-YOU WILL LOSE.',"Tenney, C.W.",1933,yes,Trust; Tenney; Duty; World War; Spirit of God; Psychiana Affirmations,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23",single-page; notices,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana253,psychiana,253,,A Special Offer to our Members ONLY!,A single-page advertisement and detachable order form at the bottom. Members offered a 28 1/2% discount for three of Frank B. Robinson�s books.,,1949,yes,Offer; Members; Discount; Robinson's Books,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23",single-page; advertisements,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana664,psychiana,664,,A Visit to the Man Who 'Talks With God',"Page 1-2 article in sections--'Followers', 'Ten Years', 'Building', 'Figures', 'Lessons', 'Losses', 'Author', and 'Tenney'--recounting the trajectory of Psychiana and its current doctrine and financial status; Page 3-4 photographs of Robinson, Robinson's car, Psychiana Headquarters, and Dr. C.W. Tenney.",,1939-09-24,,Psychiana Growth; Finances; C.W. Tenney,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - 'Clippings About Robinson'",multiple-page; clippings,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana409,psychiana,409,,"All the World Wants God, Bt It Doesn't Know Where to Find That Great Power",Similar to mg101_b7_f28_005: photograph of full lecture hall in LA.  Text follows regarding the import of Robinson's teachings.,,1934,yes,Lecture; Ernest Holmes; Los Angeles; Spirit of God,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 28",single-page; flyers,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
demo_psychiana255,psychiana,255,,An Abiding Faith alternate version,A single-page notice to members to keep up their donations.,"Robinson, Frank B.",1938,yes,Membership; Faith; Donations,,,,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 24",single-page; notices,application/pdf,Text,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/
