title,description,creator,recipient,date,date-is-approximate,item-information,subject,related-publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,reference-url,cdmid,contentdm-file-name,contentdm-file-path,objectid,latitude,longitude,youtubeid
"Psychiana, A Mail Order Religion Created in the Small Town of Moscow, Idaho","Short video describing Psychiana, a mail order religion that preached the New Thought Movement. In 1928, Dr. Frank B. Robinson created Psychiana in Moscow, Idaho.",Northwest Public Broadcasting,,2019-08-28,,youtube video,Religion; Frank B. Robinson,,Northwest Public Broadcasting,Northwest Public Broadcasting,,,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Audio,video/mpeg,eng,,,,,,pyschiana_demo20,,,x6eu5wj8b04
"$10,000 Reward","Single-fold pamphlet regarding the possibility of eternal life on earth, which Robinson claims is possible with the help of Psychiana. Offers a $10,000 reward to anyone who can prove that 'almighty god cannot give eternal life on this earth.'",,,1946,yes,multiple-page; pamphlets,Eternal Life; Peace; Material Abundance; Happiness; Spirit of God; Talking With God; Power of God,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 4",MG101_b7_f4_013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/841,841,568.pdf,/psychiana/image/568.pdf,demo_psychiana841,,
"A Conspectus of the Eleven Living Religions of the World, Arranged in the Chronological Order of Their Origin","Table of compiled data about eleven orthodox religions in regards to each religions' name, date of birth of founder, founder, deity, present location, scripture, and number in millions of adherents.",,,1940,yes,single-page; data tables,Doctrine Parallels,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 5, Folder 24",MG101_b5_f24_019,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/98,98,34.pdf,/psychiana/image/34.pdf,demo_psychiana98,,
A Little Chat About Money,"Notice sent to members to make prompt payments. Robinson tells his members that he believes in their unshakable integrity and that it must be carelessness that they don't make their payments, but it is important that the payments are received on time.","Robinson, Frank B.",,1938,yes,single-page; notices,Power  of God; Payments; Movement; Bills; Discounts; Expenses; Burdens; Obligations,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 24",MG101_b7_f24_040,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/281,281,1036.pdf,/psychiana/image/1036.pdf,demo_psychiana281,47.604513,-122.332475
A Money-Making Opportunity for 'Psychiana' Students Establish a 'Psychiana' Sales Agency,Fill out and sign enclosed 'Sales Agents Application Blank'. Notice to inform students about becoming sale agents for Psychiana.,,Students,1936,yes,multiple-page; application forms,Sale Agency; Money-Making Opportunity; Students; Territory; Spreading Psychiana,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",MG101_b7_f23_039,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/245,245,1000.pdf,/psychiana/image/1000.pdf,demo_psychiana245,,
A Sacred Trust,A single-page notice sent to members asking that they direct their thoughts to Hitler and to say 'YOU ARE OPPOSING THE SPIRIT OF GOD-YOU WILL LOSE.',"Tenney, C.W.",members,1933,yes,single-page; notices,Trust; Tenney; Duty; World War; Spirit of God; Psychiana Affirmations,,University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/,"MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",MG101_b7_f23_047,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/251,251,1006.pdf,/psychiana/image/1006.pdf,demo_psychiana251,,
A Special Offer to our Members ONLY!,A single-page advertisement and detachable order form at the bottom. Members offered a 28 1/2% discount for three of Frank B. Robinson�s books.,,members,1949,yes,single-page; advertisements,Offer; Members; Discount; Robinson's Books,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 23",MG101_b7_f23_048,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/253,253,1008.pdf,/psychiana/image/1008.pdf,demo_psychiana253,,
A Visit to the Man Who 'Talks With God',"Page 1-2 article in sections--'Followers', 'Ten Years', 'Building', 'Figures', 'Lessons', 'Losses', 'Author', and 'Tenney'--recounting the trajectory of Psychiana and its current doctrine and financial status; Page 3-4 photographs of Robinson, Robinson's car, Psychiana Headquarters, and Dr. C.W. Tenney.",,,1939-09-24,,multiple-page; clippings,Psychiana Growth; Finances; C.W. Tenney,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 6, Folder - 'Clippings About Robinson'",MG101_b6_clip020,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/664,664,391.pdf,/psychiana/image/391.pdf,demo_psychiana664,,
"All the World Wants God, Bt It Doesn't Know Where to Find That Great Power",Similar to mg101_b7_f28_005: photograph of full lecture hall in LA.  Text follows regarding the import of Robinson's teachings.,,,1934,yes,single-page; flyers,Lecture; Ernest Holmes; Los Angeles; Spirit of God,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 28",MG101_b7_f28_006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/409,409,1164.pdf,/psychiana/image/1164.pdf,demo_psychiana409,,
An Abiding Faith alternate version,A single-page notice to members to keep up their donations.,"Robinson, Frank B.",Students,1938,yes,single-page; notices,Membership; Faith; Donations,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 7, Folder 24",MG101_b7_f24_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/255,255,1010.pdf,/psychiana/image/1010.pdf,demo_psychiana255,,
Autographed Portrait of Frank B. Robinson,"Sepia photograph of Robinson in a hat and suit. Also includes an autograph and note reading, 'Yours for Others, Frank B. Robinson.'",,,1938,yes,single-page; photographs,,Frank B. Robinson; Portraits,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives",http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,"MG-101, Box 4, Folder 27",MG101_b4_f27_008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/337,337,1092.pdf,/psychiana/image/1092.pdf,demo_psychiana337,,
