column,title,description,date,subject,subject - lcsh,subject - local,location,collecting area,manufacturer,latitude,longitude,archival source,original format,type,format,identifier,rights,provenance,publisher,credit line,digital collection,location id,file size,height,width,color space,checksum,pdflink,compound,cpdmaster,cdmid,objectid
0,Top O' the Sea,"The Top O' the Sea Cafe was one of the first, if not the first, restaurants opened at the end of the Malibu Pier, occupying one of the twin structures that has characterized the pier's appearance since the 1940s. The restaurant opened in 1950. The matchcover features the Lenbrooke, one of several fishing boats that operated from the pier at the time. The underside of the cover lists pier services.",1952,Matchcovers; Eating & drinking facilities; Restaurants; Piers & wharves;,Malibu (Calif.),"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,,34.03561,-118.675652,,"match book, 2 x 4.5 inches",Image,image/jp2,match00001.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,9486311 Bytes,2613,1209,RGB,467295273,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/2/page/0/inline/,0;1;2,2,0,wienberg0
3,Malibu West,"This matchcover advertises the Malibu West development venture, which produced single family homes and condominiums in the Trancas Canyon area of western Malibu between 1962 and 1964.",1964,Matchcovers; Real estate business; Real estate development;,Malibu (Calif.),"Trancas Canyon, Malibu;","Malibu (Calif.);Trancas Canyon, Malibu;",,Universal Match Corp,34.030701,-118.84354,,"Matchbook, 7.5 x 11 centimeters",Image,image/jp2,match00003.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,13727210 Bytes,2613,1750,RGB,311162305,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/5/page/0/inline/,3;4;5,5,3,wienberg3
6,Drift Inn Cafe,"The Drift Inn Cafe had its heyday in the late 1950s and early 1960s, often featuring live jazz music. It was situated at 22878 Pacific Coast Highway, on the beach just east of the Malibu Pier. During the 1960s, the owner renovated the Drift Inn as the Tiki-themed Tonga Lei Restaurant. The building was eventually razed in 1987 to make way for the Malibu Beach Inn.",1959,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Carbon Beach, Malibu;","Malibu (Calif.);Carbon Beach, Malibu;",,Monarch Match,34.038099,-118.674341,,"Matchbook, 4 x 11.5 centimeters",Image,image/jp2,match00005.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,7298231 Bytes,2673,909,RGB,1489805091,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/7/page/0/inline/,6;7,7,6,wienberg6
8,Tonga Lei and Ted's Rancho Restaurant,"This matchcover advertises two restaurants: Tonga Lei Polynesian and Ted's Rancho Restaurant, both owned by Danny Vaughn. Located on the beach just east of Topanga Canyon, Ted's Rancho served clientele from the 1940s to the late 1970s. The site is a vacant lot today. In 1961, Vaughn (with co-owner Ted Wynkoop) converted his Drift Inn near the Malibu Pier to the Polynesian-themed Tonga Lei, which remained a popular eatery until it closed in 1987. In the following year, the owners built the Malibu Beach Inn at that location.",1969,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.); Topanga (Calif.);,"Carbon Beach, Malibu; Topanga Beach, Malibu;","Malibu (Calif.); Topanga (Calif.);Carbon Beach, Malibu; Topanga Beach, Malibu;",,Creative Sales Catalysts,34.038169,-118.674299,,"Matchbook, 4 x 11 centimeters",Image,image/jp2,match00006.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,6750500 Bytes,2613,860,RGB,814100407,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/9/page/0/inline/,8;9,9,8,wienberg8
10,Malibu Inn Cafe,"The Malibu Inn, also known as the Malibu Beach Inn, appeared in the 1920s, rising with the popularity of the Malibu Movie Colony. The Malibu Inn was a fixture on Malibu Road behind the Colony until the redirection of the highway forced its move in the early 1950s. This matchbook dates from the early years in its new location across from Malibu Pier at 22969 Pacific Coast Highway. Note it's motto: ""Where the Stars Meet the Sea."" The reverse side includes pictures of two of the Malibu Inn's ""crunch fried"" dishes: Chicken on a Stick and the Shrimp Boat.",1953,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Carbon Beach, Malibu;","Malibu (Calif.);Carbon Beach, Malibu;",,Universal Match Corp,34.037824,-118.676986,,"Matchbook, 5 x 11.5 centimeters",Image,image/jp2,match00007.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,9276200 Bytes,2663,1160,RGB,1407258682,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/12/page/0/inline/,10;11;12,12,10,wienberg10
13,Malibu Sports Club Restaurant,"The Malibu Sports Club Restaurant opened at the foot of the Malibu Pier in the mid 1950s, operating there until it closed in 1969. The Malibu Pier Club and Alice's Restaurant later occupied this spot.",1958,Matchcovers; Eating & drinking facilities; Restaurants; Piers & wharves;,Malibu (Calif.),"Malibu Pier, Malibu;","Malibu (Calif.);Malibu Pier, Malibu;",,Lion Match Co.,34.037134,-118.676682,,"Matchbook, 5 x 11 centimeters",Image,image/jp2,match00009.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,9206600 Bytes,2643,1160,RGB,924995758,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/15/page/0/inline/,13;14;15,15,13,wienberg13
16,Malibu Outrigger Resort Hotel,"Opened in 1962, the Malibu Outrigger Resort Hotel offered extended stay, beachfront options on Carbon Beach, less than a mile east of Malibu Pier. The site still operates as a condominium complex today. This matchbook probably dates to the early 1970s.",1970,Matchcovers; Hotels; Apartment hotels; Apartments;,Malibu (Calif.),"Carbon Beach, Malibu;","Malibu (Calif.);Carbon Beach, Malibu;",,Universal Match Corp,34.039325,-118.666286,,"Matchbook, 5 x 11.5 centimeters",Image,image/jp2,match00011.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,9206600 Bytes,2643,1160,RGB,804083336,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/18/page/0/inline/,16;17;18,18,16,wienberg16
19,The Malibu Inn,"The Malibu Inn, also known as the Malibu Beach Inn, appeared in the 1920s, rising with the popularity of the Malibu Movie Colony. The Malibu Inn was a fixture on Malibu Road behind the Colony until the redirection of the highway forced its move in the early 1950s. This matchbook dates from the early years in its new location across from Malibu Pier at 22969 Pacific Coast Highway.",1953,Matchcovers; Eating & drinking facilities; Restaurants,Malibu (Calif.),"Carbon Beach, Malibu;","Malibu (Calif.);Carbon Beach, Malibu;",,,34.037824,-118.676986,,"Matchbook, 4 x 11.5 centimeters",Image,image/jp2,match00013.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,7303640 Bytes,2643,920,RGB,1224980637,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/20/page/0/inline/,19;20,20,19,wienberg19
21,Thelma Todd's Inn,"Thelma Todd's Sidewalk Cafe, also marketed as Thelma Todd's Inn, occupied a distinctive Spanish-style building on the Pacific Coast Highway, just west of Sunset Boulevard. Built in 1928, the property was acquired by the film actress Thelma Todd and converted to a cafe in 1934. Her mysterious death in her garage above the Cafe a year later shocked and intrigued the public. After her death, the Cafe continued operating under her name for some years afterward. Thelma Todd's also highlighted its restaurant variously as Joya's Cuisine Unequaled or Steaks of Joya's Unequaled. The building remains on the PCH today, beautifully restored, as the home of Paulist Productions, a Christian film company.",1937,Matchcovers; Eating & drinking facilities; Restaurants; Cafes;,"Pacific Palisades (Los Angeles, Calif.);",,"Pacific Palisades (Los Angeles, Calif.);",,Lion Match Co.,34.040328,-118.560627,,"Matchbook, 3.5 x 11.5 centimeters",Image,image/jp2,match00014.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,7133891 Bytes,2733,869,RGB,4050440147,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/22/page/0/inline/,21;22,22,21,wienberg21
23,The Albatross,"The Albatross Hotel stood near the present-day location of Dukes Malibu on the west side of Las Flores Creek on the Pacific Coast Highway. During its heyday in the 1950s and 60s, the establishment enjoyed a notoriety for romantic trysts. This reputation was no doubt reinforced by the film ""Strangers When We Met"" (1960), which shot several scenes in the Albatross. In the film, the hotel is the scene of an affair between the characters played by Kirk Douglass and Kim Novak.",1958,Matchcovers; Eating & drinking facilities; Restaurants; Motels; Hotels;,Malibu (Calif.),"Las Flores Beach, Malibu;","Malibu (Calif.);Las Flores Beach, Malibu;",,Lion Match Co.,34.03661,-118.636712,,"Matchbook, 5 x 11.5 centimeters",Image,image/jp2,match00017.tif,"Copyright to materials in this collection, in most cases, is retained by Pepperdine University. Materials are intended for educational and research use, and may be used for non-commercial purposes with appropriate attribution. Organizations and individuals seeking to use materials for publication must assume all responsibility for identifying and satisfying any claimants of copyright. Such parties should contact Pepperdine University Special Collections and University Archives.",Collected and donated by Eric Wienberg,Pepperdine University Libraries,"Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables [digital resource], Pepperdine University Special Collections and University Archives","Eric Wienberg Collection of Malibu Matchbooks, Postcards, and Collectables",matchbook,9348101 Bytes,2663,1169,RGB,3773672362,https://cdm15730.contentdm.oclc.org/digital/api/collection/p15730coll18/id/25/page/0/inline/,23;24;25,25,23,wienberg23
