title,subject,description,creator,publisher,contributors,date,type,genre,format,digitization,identifier,source,relation,language,coverage,rights,rightsstatement,audience,image size,dpi,date (digitized),negative or print,location,note,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Group of men from Heart Mountain near farm equipment in Nyssa, Oregon, July, 1944.","Agriculture; Community & social service organizations; Labor; Work & jobs; Work Leave; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Mr. Takehara, Min Omori, Chop Umemoto, and a group of men from Heart Mountain posing in a field with farm equipment, Nyssa, Oregon.","Hirahara, George or Frank Hirahara","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-07,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0015n02.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000/2006 deaths of the creators.,,2&quot;x3&quot;,2400,2011-10-06,Negative,North and Central America--United States--Oregon--Malheur county--Nyssa,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-13,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/154,154,155.jp2,/hiraharag/image/155.jp2,hiraharag154
"Ikebana arrangement on a stand, 1944.","Agriculture; Art; Associations & organizations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of an ikebana arrangement.  The flower arrangement rests on a stand inside of a barrack, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0046n06a.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x2.5&quot;,2400,2011-10-12,Negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-13,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/211,211,212.jp2,/hiraharag/image/212.jp2,hiraharag211
Plaque for the 1943 Fire Prevention Award from the War Relocation Authority.,"Civic issues; Facilities, services & camp administration; Public school; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a plaque for the 1943 Fire Prevention Award from the War Relocation Authority housed in the Heart Mountain Heart High School gymnasium, Heart Mountain Relocation Center, Wyoming.","Hirahara, Frank","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943/1945,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0047n10b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2006 death of the creator.,,2&quot;x2&quot;,2400,2011-10-13,Negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-13,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/221,221,222.jp2,/hiraharag/image/222.jp2,hiraharag221
"Hirahara family gathered outside for a graduation picture, 1944.","Education; Family; Festivals & celebrations; Public School; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of the Hirahara family, including Koto Hirahara, Min Omori, Frank Hirahara, George Hirahara, and Torakichi Migita, posing outside of the barracks for Frank Hirahara&#x27;s  graduation, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Group portraits,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0082n02.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-17,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/223,223,224.jp2,/hiraharag/image/224.jp2,hiraharag223
"An actress portraying a male character in a Japanese play, January 3, 1944.","Art; Associations & organizations; Drama; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of an actress portraying a male character in a Japanese play at Mess Hall 21-30, Heart Mountain Relocation Center, Wyoming. She is wearing a traditional robe and a sword and scabbard on her waist.  She is part of a kabuki acting troop called Shibai.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-01-03,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0084n01.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x1.5&quot;,2400,2011-10-17,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/229,229,230.jp2,/hiraharag/image/230.jp2,hiraharag229
"People acting in a Japanese play, January 3, 1944.","Art; Associations & organizations; Drama; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of people acting in a Japanese play at Mess Hall 21-30, Heart Mountain Relocation Center, Wyoming. An actror wearing a traditional gown holds a fan.  He is part of a kabuki acting troop called Shibai.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-01-03,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0084n02.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,3&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/230,230,231.jp2,/hiraharag/image/231.jp2,hiraharag230
"People acting in a Japanese play, January 3, 1944.","Art; Associations & organizations; Drama; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of people acting in a Japanese play at Mess Hall 21-30, Heart Mountain Relocation Center, Wyoming. All three are wearing traditional Japanese clothes and makeup.  They are part of a kabuki acting troop called Shibai.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944-01-03,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0084n03.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English; Japanese,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x3&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/231,231,232.jp2,/hiraharag/image/232.jp2,hiraharag231
"Photographer Eiichi Sakauye and others on top of a War Relocation Authority vehicle, 1944.","Art; Facilities & services; Work & jobs; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of photographer Eiichi Sakauyer and other men seated and standing on a War Relocation Authority vehicle, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1944,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0087n02b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,2&quot;x1.5&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/244,244,245.jp2,/hiraharag/image/245.jp2,hiraharag244
Woman from the Administration Office speaking at a military induction ceremony.,"Associations & organizations; Civic issues; Festivals & celebrations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of a woman from the Administration Office speaking at a military draft induction ceremony, with a sign acknowledging the 407 men from the Heart Mountain Relocation Center who had currently inducted, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943/1945,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0087n04a.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/247,247,248.jp2,/hiraharag/image/248.jp2,hiraharag247
Seiichi Nako dressed in a military uniform and leading the band for a military induction ceremony.,"Associations & organizations; Civic issues; Festivals & celebrations; Japanese Americans--Evacuation and relocation, 1942-1945","Photograph of Seiichi Nako dressed in a military uniform and leading the band for a military draft induction ceremony, Heart Mountain Relocation Center, Wyoming.","Hirahara, George","Manuscripts, Archives, and Special Collections, Washington State University Libraries: http://libraries.wsu.edu/masc/",,1943/1945,Image,Action photographs,image/jp2,"Original photographs were scanned as 2400 dpi TIFF files on a Microtek 9600XL scanner, 72 dpi JPEG 2000 files were then added to the CONTENTdm database at the WSU Libraries.",sc14b01f0087n04b.jpg,"Is found in SC 14, George and Frank  Hirahara Photograph Collection http://libraries.wsu.edu/masc/finders/sc014.htm at Washington State University Libraries&#x27; Manuscripts, Archives, and Special Collections (MASC) http://libraries.wsu.edu/masc",ark:/80444/xv49972,English,,http://rightsstatements.org/vocab/InC/1.0/,In copyright. Item is in copyright until 70 years after the 2000 death of the creator.,,1.5&quot;x2&quot;,2400,2011-10-18,negative,North and Central America--United States--Wyoming--Park county--Heart Mountain Relocation Center,"If you have additional information or corrections for the images in this collection, please let us know.",,2012-08-15,2018-01-20,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/hiraharag/id/248,248,249.jp2,/hiraharag/image/249.jp2,hiraharag248
