title,other title,creator,contributor,date,release date,subject,location,region,time period,description,abstract,table of contents,publisher,agency,standard number,rights,rights release,requirements for use,physical characteristics,collection,collection folder,type,language,format original,digital characteristics-a,series,digital collection,format,related items,title replaced by,title replaces,audience,hosted by,metadata creator,url-a,pres file name-m,pres local file path-m,full text,digital creation date-m,digital creator-m,capture tools-m,resolution-m,bit depth-m,security-m,checksum-m,local call number,revision-m,oclc number,date created,date modified,reference url,compound,cdmid,objectid,contentdm file name,full resolution,contentdm file path
Ashe County Public Library. Third 1930s location,,,,1977,,Public libraries--North Carolina;,"West Jefferson, Ashe County, North Carolina, United States",Appalachian Regional Library; Northwestern Regional Library (historical);,(1945-1989) Post War/Cold War period,"The Ashe County Public Library's third location was on one side of the Ice Cream Parlor in West Jefferson, North Carolina.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3.5 x 4.5 inches,Ashe County Public Library,,Image,English,Photographs,1720.943 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Greene, Jo",,tts_AsheCoun_003.tif,\Preservation_content\tts\images_master\,,2008-09,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433608436,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/80,,80,libraryhistory80,81.jp2,Volume12\tts_AsheCoun_003.tif,/p249901coll36/image/81.jp2
Ashe County Public Library. 1940's location,,"Lyle, Elizabeth.",,1977,,Public libraries--North Carolina;,"West Jefferson, Ashe County, North Carolina, United States",Appalachian Regional Library; Northwestern Regional Library (historical);,(1945-1989) Post War/Cold War period,"In the 1940s, the Ashe County Public Library was located in an old brick inn, former home and law office of Colonel George Bower. The building, located in West Jefferson, North Carolina, once operated as an old hotel. The library's entrance was the first door on the left.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,4.5 x 6 inches,Ashe County Public Library,,Image,English,Photographs,2276.884 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Greene, Jo",,tts_AsheCoun_004.tif,\Preservation_content\tts\images_master\,,2008-09,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433605565,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/81,,81,libraryhistory81,82.jp2,Volume12\tts_AsheCoun_004.tif,/p249901coll36/image/82.jp2
Ashe County Public Library. 1950s-1960s location,,,,1977,,Public libraries--North Carolina;,"West Jefferson, Ashe County, North Carolina, United States",Appalachian Regional Library; Northwestern Regional Library (historical);,(1945-1989) Post War/Cold War period,"From 1952-1962, the Ashe County Public Library was located in the West Jefferson Hotel downstairs in the room on the right (two windows on the first floor). A beauty parlor later moved into that space.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3.5 x 4.5 inches,Ashe County Public Library,,Image,English,Photographs,2177.425 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Greene, Jo",,tts_AsheCoun_005.tif,\Preservation_content\tts\images_master\,,2008-09,"Hancock, Tom",Epson Expression 10000XL,600 dpi,24,,,,,433594356,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/82,,82,libraryhistory82,83.jp2,Volume12\tts_AsheCoun_005.tif,/p249901coll36/image/83.jp2
Carl Sandburg at Pack Library,,,,1951-02-09,,Public libraries--North Carolina; Women--North Carolina,"Asheville, Buncombe County, North Carolina, United States",Central North Carolina Regional Library (historical),(1945-1989) Post War/Cold War period,"Carl Sandburg, standing in the far right corner, is reading to a group at Pack Memorial Library on February 9, 1951. Sandburg (1878-1967), noted American poet, biographer and historian, received the 1940 Pulitzer Prize for History and the 1951 Pulitzer Prize for Poetry. He lived at Connemara Farm in nearby Flat Rock from 1945 until his death in 1967.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,6 x 9 inches,Pack Memorial Public Library,,Image,English,Photographs,1844.123 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_BuncCoun_01.tif,\Preservation_content\tts\images_master\,,2008-07,,,600 dpi,24,,,,,433594359,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/83,,83,libraryhistory83,84.jp2,Volume12\tts_BuncCoun_01.tif,/p249901coll36/image/84.jp2
Pack Memorial Public Library from 1926 to 1978,,,,1926-07,,Public libraries--North Carolina;,"Asheville, Buncombe County, North Carolina, United States",Central North Carolina Regional Library (historical),(1900-1929) North Carolina's industrial revolution and World War One,"Pack Memorial Library on Pack Square in Asheville opened on July 4, 1926. It was designed by New York architect Edward L. Tilton and completed at a cost of $107,000. The library moved from this building to a new building on Haywood St in November, 1978. This building was incorporated into the Pack Place Education, Arts & Science Center in 1984, and the library space became the Asheville Art Museum.",,,Plateau Studios,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3.5 x 6 inches,Pack Memorial Public Library,,Image,English,Photographs,1335.053 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_BuncCoun_02.tif,\Preservation_content\tts\images_master\,,2008-07,,,600 dpi,24,,,,,433608472,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/84,,84,libraryhistory84,85.jp2,Volume12\tts_BuncCoun_02.tif,/p249901coll36/image/85.jp2
Librarian Katherine Case and Pack Library bookmobile,,"Wilson, Juanita.",,1951,,Public libraries--North Carolina; Bookmobiles--North Carolina ; Women--North Carolina; Children--North Carolina; Public librarians,"Asheville, Buncombe County, North Carolina, United States",Central North Carolina Regional Library (historical),(1945-1989) Post War/Cold War period,"Several young borrowers are gathered around the Pack Memorial Library bookmobile. Librarian Katherine Case is seated at the door checking out books.  Ms. Case drove the bookmobile from 1939 until 1977.  She continued working part-time at the library until her death in February, 2001.  Bookmobile service was discontinued in Buncombe County in 2005.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,7.5 x 9.5 inches,Pack Memorial Public Library,,Image,English,Photographs,2346.27 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_BuncCoun_03.tif,\Preservation_content\tts\images_master\,,2008-07,,,600 dpi,24,,,,,433594368,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/85,,85,libraryhistory85,86.jp2,Volume12\tts_BuncCoun_03.tif,/p249901coll36/image/86.jp2
Pack Memorial Public Library from 1899 to 1926,,,,,,Public libraries--North Carolina;,"Asheville, Buncombe County, North Carolina, United States",Central North Carolina Regional Library (historical),,"This castellated structure on Pack Square housed the Asheville library from 1899 until 1926.  Originally opened in 1877 as the First National Bank, the building was purchased by George Willis Pack, who donated it to the Asheville Library Association in 1899.  The library officially became the Pack Memorial Public Library in 1919, when it was opened as a free public library.  The library remained at this location until the structure was razed to make way for a new library that opened in 1926.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,2 x 3 inches,Pack Memorial Public Library,,Image,English,Photographs,1627.491 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_BuncCoun_04.tif,\Preservation_content\tts\images_master\,,2008-07,,,600 dpi,24,,,,,433605582,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/86,,86,libraryhistory86,87.jp2,Volume12\tts_BuncCoun_04.tif,/p249901coll36/image/87.jp2
Children looking at the window display in the Asheville Colored Public Library,,,,1948,,Public libraries--North Carolina; African Americans and libraries; African Americans--North Carolina; Children--North Carolina; Minorities--North Carolina,"Asheville, Buncombe County, North Carolina, United States",Central North Carolina Regional Library  (historical),,"Three young African-American children carrying schoolbooks (&quot;Essentials of Everyday English&quot;) stand looking into the display window of the Market Street Branch Library in the YMI building in Asheville.  The library branch, first called the &quot;Colored Library,&quot; opened in 1927 on South Market Street.  The name was changed to Market Street Branch of City Libraries in 1951. The branch moved to another part of the YMI building, facing Eagle Street, in 1959. That branch closed in 1966, following the desegregation of the library system in 1962.  Window is stenciled: &quot;Colored Public Library - Hrs 9-12, 2-6.&quot; The subject of the window display is China, with plants, dolls, newspapers, and books. The names of the children are (left to right) Spencer White, Frank Owens Jr., and Dorothy Owens. They were students at the Shiloh Elementary School in Asheville at the time this photo was taken.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Pack Memorial Public Library,,Image,English,Photographs,3875.856 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,,,tts_BuncCoun_05.tif,\Preservation_content\tts\images_master\,,2008-07,,,600 dpi,24,,,,,433594374,2008-09-25,2015-11-30,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/87,,87,libraryhistory87,88.jp2,,/p249901coll36/image/88.jp2
Catawba County bookmobile route,,,,1958,,Public libraries--North Carolina; Bookmobiles--North Carolina;,"Catawba County, North Carolina, United States",,(1954-1971) Civil Rights era,"The Catawba County bookmobile, known as the Mobile Unit, traveled more than 11,000 miles annually to serve the county. Its monthly schedule included 527 service stops and 11 schools. Beginning in 1938, the bookmobile operated until 1989.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,8 x 10 inches,Catawba County Library,,Image,English,Maps,1928.409 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Floyd, Alex",,tts_CataCoun_1.tif,\Preservation_content\tts\images_master\,,2008-08,"Floyd, Alex",,600 dpi,24,,,,,433605584,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/88,,88,libraryhistory88,89.jp2,Volume12\tts_CataCoun_1.tif,/p249901coll36/image/89.jp2
North Carolina WPA Library Project bookmobile,,,,1939-09,,Public libraries--North Carolina; Bookmobiles--North Carolina; United States. Works Progress Administration; Women--North Carolina,"Catawba County, North Carolina, United States",,(1929-1945) Depression and World War Two,This bookmobile was loaned to the library by the WPA in 1939.,,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 5 inches,Catawba County Library,,Image,English,Photographs,402.387 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Floyd, Alex",,tts_CataCoun_2.tif,\Preservation_content\tts\images_master\,,2008-08,"Floyd, Alex",,600 dpi,24,,,,,433594383,2008-09-25,2011-08-10,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/89,,89,libraryhistory89,90.jp2,Volume12\tts_CataCoun_2.tif,/p249901coll36/image/90.jp2
Catawba County bookmobile customer,,,,1954,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina;,"Catawba County, North Carolina, United States",,(1954-1971) Civil Rights era,"Mrs. Minnie Young, of Rt. 3, Vale, views the available selections. The bookmobile could offer up to 1,600 books plus magazines.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 4 inches,Catawba County Library,,Image,English,Photographs,381.596 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Floyd, Alex",,tts_CataCoun_3.tif,\Preservation_content\tts\images_master\,,2008-08,"Floyd, Alex",,600 dpi,24,,,,,433594385,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/90,,90,libraryhistory90,91.jp2,Volume12\tts_CataCoun_3.tif,/p249901coll36/image/91.jp2
Catawba County bookmobile librarian and customers,,,,1954,,Public libraries--North Carolina; Bookmobiles--North Carolina; Women--North Carolina; Children--North Carolina; Public librarians,"Hickory, Catawba County, North Carolina, United States",,(1954-1971) Civil Rights era,"Bookmobile librarian Mrs. Goldie Bowen and members of the young family from Route 4, Hickory.",,,,,,"Copyrighted Material see http://digital.ncdcr.gov/u?/p249901coll22,63752",,,3 x 4 inches,Catawba County Library,,Image,English,Photographs,448.025 KB,,Transforming the Tar Heel State: The Legacy of Public Libraries in North Carolina,image/tiff,,,,All,State Library of North Carolina,"Floyd, Alex",,tts_CataCoun_4.tif,\Preservation_content\tts\images_master\,,2008-08,"Floyd, Alex",,600 dpi,24,,,,,433594388,2008-09-25,2011-08-09,http://cdm16062.contentdm.oclc.org/cdm/ref/collection/p249901coll36/id/91,,91,libraryhistory91,92.jp2,Volume12\tts_CataCoun_4.tif,/p249901coll36/image/92.jp2
