title,creator,date,date.digital,publisher,description,subject,type,genre,location,rights,rightsstatement,identifier,holding institution,digitization,format,contributors,language,source,relation,dates,control,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Map of Washington showing classification of lands, (1902)","Plummer, George H.; Plummer, Fred G. (Fred Gordon), 1864-1913; Rankine, J. H.; Geological Survey (U.S.)",1902,2000-2002,"Washington, D.C. : U.S. Geological Survey","Shows cut areas, timberless areas, burned areas, 6 categories of timber densities, and Northern Pacific land grant boundaries. Printed on 4 sheets and assembled into one map. Julius Bien &amp; Co. Lith. N.Y. Scale [ca. 1:396,000] (W 124&amp;deg;45--W 117&amp;deg;00/N 49&amp;deg;00--N 45&amp;deg;30)",Forests and forestry--Washington (State)--Maps,Image,Maps,United States--Washington (State),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm1; G4281.K1 1902.P5,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found as Map of Washington showing classification of lands, 1902. G4281.K1 1902.P5 at University of Washington Libraries Map Collection",,1902,,,2005-02-02,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/11,11,uw1.jp2,/maps/image/uw1.jp2,maps11
"Forest type map, state of Washington, SE sheet (1936)","Pacific Northwest Forest Experiment Station (Portland, Or.); Andrews, H. J; Cowlin, Robert William, 1899-",1936,2000-2002,"Portland, Or. : U.S. Dept. of Agriculture, Forest Service, Pacific Northwest Forest Experiment Station","1 map : col. ; 97 x 158 cm. Relief shown by hachures and spot heights. Scale 1:253,440. 1 in. = 4 miles ; Lambert proj. (W 125&amp;deg;--W 117&amp;deg;/N 49&amp;deg;--N 45&amp;deg;)","Forests and forestry--Washington (State)--Maps, Physical",Image,Maps,United States--Washington (State),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm2; G4281.K2 1936 .P3 sheet SE,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found as Forest type map, state of Washington, SE sheet, 1936. G4281.K2 1936 .P3 sheet SE at University of Washington Libraries Map Collection",,1936,,,2005-02-02,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/12,12,uw2.jp2,/maps/image/uw2.jp2,maps12
"Mean annual rainfall (in inches) [Washington and Oregon], (1888)","United States. Army. Signal Corps. Morey, W., del.",1888,2000-2002,Washington : Government Printing Office.,"1 map : col. ; 24 x 21 cm. Relief shown by hachures. &quot;Chart no. 1.&quot; &quot;Photo. lith. by A. Hoen &amp; Co., Baltimore, MD.&quot; Scale ca. 1:3,750.000.",Rain and rainfall--Washington (State)--Maps; Rain and rainfall--Oregon--Maps,Image,Maps,United States--Washington (Terr.); United States--Oregon,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm143; Y 1.1/2: serial 2511 map 1,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, Senate Executive Document no. 91. Letter from the Secretary of War, transmitting letter of the Chief Signal Officer on the rain-fall of the Pacific slope and the western states and territories. [after p. 37], 1888. Y 1.1/2: serial 2511 map 1 at University of Washington Libraries Government Publications Section",,1888,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/14,14,uw143.jp2,/maps/image/uw143.jp2,maps14
"Forest type map, state of Washington, SW sheet (1936)","Pacific Northwest Forest Experiment Station (Portland, Or.); Andrews, H. J; Cowlin, Robert William, 1899-",1936,2000-2002,"Portland, Or. : U.S. Dept. of Agriculture, Forest Service, Pacific Northwest Forest Experiment Station","1 map : col. ; 97 x 158 cm. Relief shown by hachures and spot heights. Scale 1:253,440. 1 in. = 4 miles ; Lambert proj.","Forests and forestry--Washington (State)--Maps, Physical",Image,Maps,United States--Washington (State),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm3; G4281.K2 1936 .P3 sheet SW,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found as Forest type map, state of Washington, SW sheet, 1936. G4281.K2 1936 .P3 sheet SW at University of Washington Libraries Map Collection",,1936,,,2005-02-02,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/15,15,uw3.jp2,/maps/image/uw3.jp2,maps15
"Forest type map, state of Washington, NE sheet (1936)","Pacific Northwest Forest Experiment Station (Portland, Or.); Andrews, H. J; Cowlin, Robert William, 1899-",1936,2000-2002,"Portland, Or. : U.S. Dept. of Agriculture, Forest Service, Pacific Northwest Forest Experiment Station","1 map : col. ; 97 x 158 cm. Relief shown by hachures and spot heights. Scale [1:253,440]. 1 in. = 4 miles ; Lambert proj. (W 125&amp;deg;--W 117&amp;deg;/N 49&amp;deg;--N 45&amp;deg;)","Forests and forestry--Washington (State)--Maps, Physical",Image,Maps,United States--Washington (State),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm4; G4281.K2 1936 .P3 sheet NE,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found as Forest type map, state of Washington, NE sheet, 1936. G4281.K2 1936 .P3 sheet NE at University of Washington Libraries Map Collection",,1936,,,2005-02-02,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/16,16,uw4.jp2,/maps/image/uw4.jp2,maps16
"Forest type map, state of Washington, NW sheet (1936)","Pacific Northwest Forest Experiment Station (Portland, Or.); Andrews, H. J; Cowlin, Robert William, 1899-",1936,2000-2002,"Portland, Or. : U.S. Dept. of Agriculture, Forest Service, Pacific Northwest Forest Experiment Station","1 map : col. ; 97 x 158 cm. Relief shown by hachures and spot heights. Scale 1:253,440. 1 in. = 4 miles ; Lambert proj.","Forests and forestry--Washington (State)--Maps, Physical",Image,Maps,United States--Washington (State),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm5; G4281.K2 1936 .P3 sheet NW,University of Washington Libraries Map Collection,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found as Forest type map, state of Washington, NW sheet, 1936. G4281.K2 1936 .P3 sheet NW at University of Washington Libraries Map Collection",,1936,,,2005-02-02,2018-06-13,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/17,17,uw5.jp2,/maps/image/uw5.jp2,maps17
"Mean seasonal rainfall in inches, wet season, October - April [Washington and Oregon], 1888","United States. Army. Signal Corps. Morey, W., del.",1888,2000-2002,Washington : Government Printing Office.,"1 map : col. ; 24 x 21 cm. Relief shown by hachures. &quot;Chart no. 2.&quot; &quot;Photo. lith. by A. Hoen &amp; Co., Baltimore, MD.&quot; Scale ca. 1:3,750,000.",Rain and rainfall--Washington (State)--Maps; Rain and rainfall--Oregon--Maps,Image,Maps,United States--Washington (Terr.); United States--Oregon,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm145; Y 1.1/2: serial 2511 map 2,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, Senate Executive Document no. 91. Letter from the Secretary of War, transmitting letter of the Chief Signal Officer on the rain-fall of the Pacific slope and the western states and territories. [after p. 37], 1888. Y 1.1/2: serial 2511 map 2 at University of Washington Libraries Government Publications Section",,1888,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/18,18,uw145.jp2,/maps/image/uw145.jp2,maps18
"Density of forests Washington State, (1883)","United States. Dept. of the Interior. Sargent, Charles Sprague, 1841-1927.",1884,2000-2002,Washington : Government Printing Office.,"1 map : col. ; 24 x 39 cm. Color shaded areas show ranges of &quot;cords per acre&quot;. &quot;Tenth Census of the United States&quot; in upper right. Scale ca. 1:1,750,000.",Forests and forestry--Washington (State)--Maps,Image,Maps,United States--Washington (Terr.),http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm102; Y 1.1/2:serial 2137 map 1,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, House Mis. Doc. 42, Part 9. Report on the forests of North America (exclusive of Mexico. [after p. 574], 1884. Y 1.1/2:serial 2137 map 1 at University of Washington Libraries Government Publications Section",,1883; 1884,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/19,19,uw102.jp2,/maps/image/uw102.jp2,maps19
"Mean annual temperature in degrees Fahrenheit [Washington and Oregon], (1888)","United States. Army. Signal Corps. Morey, W., del.",1888,2000-2002,Washington : Government Printing Office.,"1 map : col. ; 24 x 21 cm. Relief shown by hachures. &quot;Chart no. 5.&quot; &quot;Photo. lith. by A. Hoen &amp; Co., Baltimore, MD.&quot; Scale ca. 1:3,750,000.",Atmospheric temperature--Washington (State)--Maps; Atmospheric temperature--Oregon--Maps,Image,Maps,United States--Washington (Terr.); United States--Oregon,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm144; Y 1.1/2: serial 2511 map 4,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, Senate Executive Document no. 91. Letter from the Secretary of War, transmitting letter of the Chief Signal Officer on the rain-fall of the Pacific slope and the western states and territories. [after p. 37], 1888. Y 1.1/2: serial 2511 map 4 at University of Washington Libraries Government Publications Section",,1888,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/20,20,uw144.jp2,/maps/image/uw144.jp2,maps20
"Mean temperature in degrees Fahrenheit, winter, December - February, [Washington and Oregon], (1888)","United States. Army. Signal Corps. Morey, W., del.",1888,2000-2002,Washington : Government Printing Office.,"1 map : col. ; 24 x 21 cm. Relief shown by hachures. &quot;Chart no. 7.&quot; &quot;Photo. lith. by A. Hoen &amp; Co., Baltimore, MD.&quot; Scale ca. 1:3,750,000.",Atmospheric temperature--Washington (State)--Maps; Atmospheric temperature--Oregon--Maps,Image,Maps,United States--Washington (Terr.); United States--Oregon,http://rightsstatements.org/vocab/NKC/1.0/,No known copyright. Item is in public domain as it was created by the United States government. Please give credit to the University of Washington Libraries.,uwm146; Y 1.1/2: serial 2511 map 6,University of Washington Libraries Government Publications Section,,image/jpg2000,University of Washington Libraries Map Collection,English,"Is found in United States Congressional serial set, Senate Executive Document no. 91. Letter from the Secretary of War, transmitting letter of the Chief Signal Officer on the rain-fall of the Pacific slope and the western states and territories. [after p. 37], 1888. Y 1.1/2: serial 2511 map 6 at University of Washington Libraries Government Publications Section",,1888,,,2005-02-02,2018-06-14,http://cdm16866.contentdm.oclc.org/cdm/ref/collection/maps/id/21,21,uw146.jp2,/maps/image/uw146.jp2,maps21
