title,description,creator,recipient,date,date-is-approximate,latitude,longitude,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,cdmid,objectid,youtubeid,object_thumb,object_download,reference_url
"Psychiana, A Mail Order Religion Created in the Small Town of Moscow, Idaho","Short video describing Psychiana, a mail order religion that preached the New Thought Movement. In 1928, Dr. Frank B. Robinson created Psychiana in Moscow, Idaho.","Northwest Public Broadcasting","","2019-08-28","","","","youtube video","Religion; Frank B. Robinson","","Northwest Public Broadcasting","Northwest Public Broadcasting","","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Audio","video/mpeg","eng","","","demo_psychiana_yt1","x6eu5wj8b04","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/","https://digital.lib.uidaho.edu/utils/getstream/collection/psychiana/id/","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana_yt1.html"
"$10,000 Reward","Single-fold pamphlet regarding the possibility of eternal life on earth, which Robinson claims is possible with the help of Psychiana. Offers a $10,000 reward to anyone who can prove that &#39;almighty god cannot give eternal life on this earth.&#39;","","","1946","yes","","","multiple-page; pamphlets","Eternal Life; Peace; Material Abundance; Happiness; Spirit of God; Talking With God; Power of God","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 4","MG101_b7_f4_013","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","841","demo_psychiana841","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/841","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/841.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana841.html"
"A Conspectus of the Eleven Living Religions of the World, Arranged in the Chronological Order of Their Origin","Table of compiled data about eleven orthodox religions in regards to each religions&#39; name, date of birth of founder, founder, deity, present location, scripture, and number in millions of adherents.","","","1940","yes","","","single-page; data tables","Doctrine Parallels","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 5, Folder 24","MG101_b5_f24_019","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","98","demo_psychiana98","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/98","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/98.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana98.html"
"A Little Chat About Money","Notice sent to members to make prompt payments. Robinson tells his members that he believes in their unshakable integrity and that it must be carelessness that they don&#39;t make their payments, but it is important that the payments are received on time.","Robinson, Frank B.","","1938","yes","47.604513","-122.332475","single-page; notices","Power  of God; Payments; Movement; Bills; Discounts; Expenses; Burdens; Obligations","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 24","MG101_b7_f24_040","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","281","demo_psychiana281","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/281","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/281.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana281.html"
"A Money-Making Opportunity for &#39;Psychiana&#39; Students Establish a &#39;Psychiana&#39; Sales Agency","Fill out and sign enclosed &#39;Sales Agents Application Blank&#39;. Notice to inform students about becoming sale agents for Psychiana.","","Students","1936","yes","","","multiple-page; application forms","Sale Agency; Money-Making Opportunity; Students; Territory; Spreading Psychiana","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23","MG101_b7_f23_039","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","245","demo_psychiana245","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/245","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/245.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana245.html"
"A Sacred Trust","A single-page notice sent to members asking that they direct their thoughts to Hitler and to say &#39;YOU ARE OPPOSING THE SPIRIT OF GOD-YOU WILL LOSE.&#39;","Tenney, C.W.","members","1933","yes","","","single-page; notices","Trust; Tenney; Duty; World War; Spirit of God; Psychiana Affirmations","","University of Idaho Library Digital Initiatives - http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23","MG101_b7_f23_047","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","251","demo_psychiana251","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/251","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/251.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana251.html"
"A Special Offer to our Members ONLY!","A single-page advertisement and detachable order form at the bottom. Members offered a 28 1/2% discount for three of Frank B. Robinson�s books.","","members","1949","yes","","","single-page; advertisements","Offer; Members; Discount; Robinson&#39;s Books","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 23","MG101_b7_f23_048","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","253","demo_psychiana253","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/253","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/253.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana253.html"
"A Visit to the Man Who &#39;Talks With God&#39;","Page 1-2 article in sections--&#39;Followers&#39;, &#39;Ten Years&#39;, &#39;Building&#39;, &#39;Figures&#39;, &#39;Lessons&#39;, &#39;Losses&#39;, &#39;Author&#39;, and &#39;Tenney&#39;--recounting the trajectory of Psychiana and its current doctrine and financial status; Page 3-4 photographs of Robinson, Robinson&#39;s car, Psychiana Headquarters, and Dr. C.W. Tenney.","","","1939-09-24","","","","multiple-page; clippings","Psychiana Growth; Finances; C.W. Tenney","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 6, Folder - &#39;Clippings About Robinson&#39;","MG101_b6_clip020","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","664","demo_psychiana664","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/664","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/664.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana664.html"
"All the World Wants God, Bt It Doesn&#39;t Know Where to Find That Great Power","Similar to mg101_b7_f28_005: photograph of full lecture hall in LA.  Text follows regarding the import of Robinson&#39;s teachings.","","","1934","yes","","","single-page; flyers","Lecture; Ernest Holmes; Los Angeles; Spirit of God","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 28","MG101_b7_f28_006","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","409","demo_psychiana409","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/409","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/409.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana409.html"
"An Abiding Faith alternate version","A single-page notice to members to keep up their donations.","Robinson, Frank B.","Students","1938","yes","","","single-page; notices","Membership; Faith; Donations","","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives","MG-101, Box 7, Folder 24","MG101_b7_f24_002","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","http://rightsstatements.org/vocab/InC-EDU/1.0/","Text","application/pdf","eng","http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&amp;q=psychiana","255","demo_psychiana255","","https://digital.lib.uidaho.edu/utils/getthumbnail/collection/psychiana/id/255","https://digital.lib.uidaho.edu/utils/getfile/collection/psychiana/id/255.pdf","https://collectionbuilder.github.io/collectionbuilder-contentdm/items/demo_psychiana255.html"
